
./streamcluster 50 100 250 10000 1 10000 myin myout 2

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     12.70     0.00       44     0.00   186.98  pFL(Points*, int*, int, float, long*, double, long, float, int, parsec_barrier_t*)
  0.00     12.70     0.00       39     0.00     0.93  pspeedy(Points*, float, long*, int, parsec_barrier_t*)
  0.00     12.70     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z11isIdenticalPfS_i
  0.00     12.70     0.00        1     0.00     0.00  outcenterIDs(Points*, long*, char*)
  0.00     12.70     0.00        1     0.00     0.00  selectfeasible_fast(Points*, int**, int, int, parsec_barrier_t*)

./streamcluster 10 30 30 5000 1 5000 myin myout 1

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 50.02      0.01     0.01     5001     0.00     0.00  parsec_barrier_destroy(parsec_barrier_t*)
 50.02      0.02     0.01     2142     0.00     0.00  pgain(long, Points*, double, long*, int, parsec_barrier_t*)
  0.00      0.02     0.00    29388     0.00     0.00  parsec_barrier_wait(parsec_barrier_t*)
  0.00      0.02     0.00     5001     0.00     0.00  contcenters(Points*)
  0.00      0.02     0.00     5001     0.00     0.00  localSearch(Points*, long, long, long*)
  0.00      0.02     0.00     5001     0.00     0.00  parsec_barrier_init(parsec_barrier_t*, int const*, unsigned int)
  0.00      0.02     0.00     5001     0.00     0.00  pkmedian(Points*, long, long, long*, int, parsec_barrier_t*)
  0.00      0.02     0.00     5000     0.00     0.00  copycenters(Points*, Points*, long*, long)
  0.00      0.02     0.00     5000     0.00     0.00  SimStream::feof()
  0.00      0.02     0.00     5000     0.00     0.00  SimStream::read(float*, int, int)
  0.00      0.02     0.00     5000     0.00     0.00  SimStream::ferror()
  0.00      0.02     0.00        6     0.00     1.67  pFL(Points*, int*, int, float, long*, double, long, float, int, parsec_barrier_t*)
  0.00      0.02     0.00        5     0.00     0.00  pspeedy(Points*, float, long*, int, parsec_barrier_t*)
  0.00      0.02     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z11isIdenticalPfS_i
  0.00      0.02     0.00        1     0.00     0.00  outcenterIDs(Points*, long*, char*)
  0.00      0.02     0.00        1     0.00     0.00  selectfeasible_fast(Points*, int**, int, int, parsec_barrier_t*)


./streamcluster 10 30 30 50000 1 50000 myin myout 1

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 84.81      0.39     0.39     2448     0.16     0.16  pgain(long, Points*, double, long*, int, parsec_barrier_t*)
  6.52      0.42     0.03        5     6.00     6.00  pspeedy(Points*, float, long*, int, parsec_barrier_t*)
  4.35      0.44     0.02    50001     0.00     0.00  localSearch(Points*, long, long, long*)
  2.17      0.45     0.01    50001     0.00     0.01  pkmedian(Points*, long, long, long*, int, parsec_barrier_t*)
  2.17      0.46     0.01    50000     0.00     0.00  copycenters(Points*, Points*, long*, long)
  0.00      0.46     0.00   122133     0.00     0.00  parsec_barrier_wait(parsec_barrier_t*)
  0.00      0.46     0.00    50001     0.00     0.00  contcenters(Points*)
  0.00      0.46     0.00    50001     0.00     0.00  parsec_barrier_init(parsec_barrier_t*, int const*, unsigned int)
  0.00      0.46     0.00    50001     0.00     0.00  parsec_barrier_destroy(parsec_barrier_t*)
  0.00      0.46     0.00    50000     0.00     0.00  SimStream::feof()
  0.00      0.46     0.00    50000     0.00     0.00  SimStream::read(float*, int, int)
  0.00      0.46     0.00    50000     0.00     0.00  SimStream::ferror()
  0.00      0.46     0.00        7     0.00    55.73  pFL(Points*, int*, int, float, long*, double, long, float, int, parsec_barrier_t*)
  0.00      0.46     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z11isIdenticalPfS_i
  0.00      0.46     0.00        1     0.00     0.00  outcenterIDs(Points*, long*, char*)
  0.00      0.46     0.00        1     0.00     0.00  selectfeasible_fast(Points*, int**, int, int, parsec_barrier_t*)

./streamcluster 10 30 30 50000 1 50000 myin myout 8

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 92.85     45.79    45.79   967878     0.05     0.05  parsec_barrier_wait(parsec_barrier_t*)
  6.71     49.10     3.31    17700     0.19     0.63  pgain(long, Points*, double, long*, int, parsec_barrier_t*)
  0.17     49.18     0.09   399815     0.00     0.12  pkmedian(Points*, long, long, long*, int, parsec_barrier_t*)
  0.10     49.23     0.05       39     1.28     1.97  pspeedy(Points*, float, long*, int, parsec_barrier_t*)
  0.08     49.27     0.04    50001     0.00     0.00  localSearch(Points*, long, long, long*)
  0.04     49.29     0.02    50000     0.00     0.00  copycenters(Points*, Points*, long*, long)
  0.03     49.31     0.02                             localSearchSub(void*)
  0.02     49.32     0.01    50001     0.00     0.00  parsec_barrier_destroy(parsec_barrier_t*)
  0.02     49.33     0.01                             streamCluster(PStream*, long, long, int, long, long, char*)
  0.00     49.33     0.00    50001     0.00     0.00  contcenters(Points*)
  0.00     49.33     0.00    50001     0.00     0.00  parsec_barrier_init(parsec_barrier_t*, int const*, unsigned int)
  0.00     49.33     0.00    50000     0.00     0.00  SimStream::feof()
  0.00     49.33     0.00    50000     0.00     0.00  SimStream::read(float*, int, int)
  0.00     49.33     0.00    50000     0.00     0.00  SimStream::ferror()
  0.00     49.33     0.00       50     0.00   224.79  pFL(Points*, int*, int, float, long*, double, long, float, int, parsec_barrier_t*)
  0.00     49.33     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z11isIdenticalPfS_i
  0.00     49.33     0.00        1     0.00     0.00  outcenterIDs(Points*, long*, char*)
  0.00     49.33     0.00        1     0.00     0.00  selectfeasible_fast(Points*, int**, int, int, parsec_barrier_t*)


./streamcluster 10 30 40 100000 1 100000 myin myout 1

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 95.52      1.27     1.27     2448     0.52     0.52  pgain(long, Points*, double, long*, int, parsec_barrier_t*)
  1.50      1.29     0.02        5     4.00     4.00  pspeedy(Points*, float, long*, int, parsec_barrier_t*)
  0.75      1.30     0.01   100001     0.00     0.00  contcenters(Points*)
  0.75      1.31     0.01   100001     0.00     0.01  pkmedian(Points*, long, long, long*, int, parsec_barrier_t*)
  0.75      1.32     0.01   100000     0.00     0.00  SimStream::ferror()
  0.75      1.33     0.01                             streamCluster(PStream*, long, long, int, long, long, char*)
  0.00      1.33     0.00   222135     0.00     0.00  parsec_barrier_wait(parsec_barrier_t*)
  0.00      1.33     0.00   100001     0.00     0.00  localSearch(Points*, long, long, long*)
  0.00      1.33     0.00   100001     0.00     0.00  parsec_barrier_init(parsec_barrier_t*, int const*, unsigned int)
  0.00      1.33     0.00   100001     0.00     0.00  parsec_barrier_destroy(parsec_barrier_t*)
  0.00      1.33     0.00   100000     0.00     0.00  copycenters(Points*, Points*, long*, long)
  0.00      1.33     0.00   100000     0.00     0.00  SimStream::feof()
  0.00      1.33     0.00   100000     0.00     0.00  SimStream::read(float*, int, int)
  0.00      1.33     0.00        7     0.00   181.49  pFL(Points*, int*, int, float, long*, double, long, float, int, parsec_barrier_t*)
  0.00      1.33     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z11isIdenticalPfS_i
  0.00      1.33     0.00        1     0.00     0.00  outcenterIDs(Points*, long*, char*)
  0.00      1.33     0.00        1     0.00     0.00  selectfeasible_fast(Points*, int**, int, int, parsec_barrier_t*)

./streamcluster 5 15 40 200000 1 200000 myin myout 1

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 77.36      0.58     0.58      968     0.60     0.60  pgain(long, Points*, double, long*, int, parsec_barrier_t*)
 10.67      0.66     0.08        3    26.68    26.68  pspeedy(Points*, float, long*, int, parsec_barrier_t*)
  3.33      0.69     0.03   200001     0.00     0.00  pkmedian(Points*, long, long, long*, int, parsec_barrier_t*)
  2.67      0.71     0.02   200001     0.00     0.00  contcenters(Points*)
  1.33      0.72     0.01   200001     0.00     0.00  localSearch(Points*, long, long, long*)
  1.33      0.73     0.01   200000     0.00     0.00  SimStream::read(float*, int, int)
  1.33      0.74     0.01        1    10.00    10.00  outcenterIDs(Points*, long*, char*)
  1.33      0.75     0.01                             streamCluster(PStream*, long, long, int, long, long, char*)
  0.67      0.75     0.01                             localSearchSub(void*)
  0.00      0.75     0.00   408773     0.00     0.00  parsec_barrier_wait(parsec_barrier_t*)
  0.00      0.75     0.00   200001     0.00     0.00  parsec_barrier_init(parsec_barrier_t*, int const*, unsigned int)
  0.00      0.75     0.00   200001     0.00     0.00  parsec_barrier_destroy(parsec_barrier_t*)
  0.00      0.75     0.00   200000     0.00     0.00  copycenters(Points*, Points*, long*, long)
  0.00      0.75     0.00   200000     0.00     0.00  SimStream::feof()
  0.00      0.75     0.00   200000     0.00     0.00  SimStream::ferror()
  0.00      0.75     0.00        7     0.00    82.89  pFL(Points*, int*, int, float, long*, double, long, float, int, parsec_barrier_t*)
  0.00      0.75     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z11isIdenticalPfS_i
  0.00      0.75     0.00        1     0.00     0.00  selectfeasible_fast(Points*, int**, int, int, parsec_barrier_t*)

./streamcluster 10 20 40 200000 4 200000 myin myout 2

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
